Puebla,Tijuana,1,1,3,4,y,1,1,1,1,2,0,2,2,0,2,1,0,1,7,4,4,7,11,Liga MX - Mexico,3040957
Atlas,Juárez,1,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,3,6,5,7,7,5,12,Liga MX - Mexico,3040958
Atlético San Luis,Pumas UNAM,1,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,3,3,3,5,5,3,8,Liga MX - Mexico,3040959
Pachuca,León,1,1,3,4,y,0,2,2,0,2,1,1,1,1,2,1,2,3,6,2,2,6,8,Liga MX - Mexico,3040960
Tigres UANL,Morelia,1,4,2,6,y,3,0,0,3,3,1,2,2,1,3,1,0,1,1,2,2,1,3,Liga MX - Mexico,3040961
América,Monterrey,1,4,2,6,y,2,2,2,2,4,2,0,0,2,2,2,3,5,7,3,3,7,10,Liga MX - Mexico,3040962
Necaxa,Cruz Azul,1,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,8,Liga MX - Mexico,3040963
Toluca,Querétaro,1,0,2,2,n,0,0,0,0,0,0,2,2,0,2,4,0,4,5,5,5,5,10,Liga MX - Mexico,3040964
Santos Laguna,Guadalajara,1,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,1,3,6,8,8,6,14,Liga MX - Mexico,3040965
Morelia,Atlas,2,0,1,1,n,0,0,0,0,0,0,1,1,0,1,3,2,5,5,3,3,5,8,Liga MX - Mexico,3040966
Veracruz,Pachuca,2,3,3,6,y,2,1,1,2,3,1,2,2,1,3,2,1,3,7,8,8,7,15,Liga MX - Mexico,3040967
León,América,2,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,5,8,7,4,4,7,11,Liga MX - Mexico,3040968
Tijuana,Querétaro,2,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,3,5,4,3,3,4,7,Liga MX - Mexico,3040969
Cruz Azul,Toluca,2,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,1,3,7,5,5,7,12,Liga MX - Mexico,3040970
Pumas UNAM,Necaxa,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,3,4,4,1,1,4,5,Liga MX - Mexico,3040971
Atlético San Luis,Monterrey,2,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,3,7,5,8,8,5,13,Liga MX - Mexico,3040972
Guadalajara,Tigres UANL,2,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,4,6,8,6,6,8,14,Liga MX - Mexico,3040973
Santos Laguna,Juárez,2,3,0,3,n,0,0,0,0,0,3,0,0,3,3,0,2,2,8,3,3,8,11,Liga MX - Mexico,3040974
Puebla,Guadalajara,3,1,1,2,y,1,1,1,1,2,0,0,0,0,0,5,4,9,5,5,5,5,10,Liga MX - Mexico,3040975
Atlas,Santos Laguna,3,1,2,3,y,0,1,1,0,1,1,1,1,1,2,5,3,8,2,5,5,2,7,Liga MX - Mexico,3040976
Querétaro,Cruz Azul,3,3,0,3,n,1,0,0,1,1,2,0,0,2,2,2,2,4,5,2,2,5,7,Liga MX - Mexico,3040977
América,Tijuana,3,3,1,4,y,0,0,0,0,0,3,1,1,3,4,2,6,8,4,1,1,4,5,Liga MX - Mexico,3040978
Pachuca,Morelia,3,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,1,3,9,3,3,9,12,Liga MX - Mexico,3040979
Monterrey,León,3,3,2,5,y,1,2,2,1,3,2,0,0,2,2,3,3,6,12,3,3,12,15,Liga MX - Mexico,3040980
Necaxa,Veracruz,3,7,0,7,n,1,0,0,1,1,6,0,0,6,6,1,1,2,1,7,7,1,8,Liga MX - Mexico,3040981
Pumas UNAM,Tigres UANL,3,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,3,7,5,2,2,5,7,Liga MX - Mexico,3040982
Juárez,Toluca,3,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,4,6,1,6,6,1,7,Liga MX - Mexico,3040983
Morelia,Monterrey,4,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,2,6,7,6,6,7,13,Liga MX - Mexico,3040984
Veracruz,Atlas,4,1,2,3,y,1,0,0,1,1,0,2,2,0,2,2,1,3,5,1,1,5,6,Liga MX - Mexico,3040985
Tijuana,Pumas UNAM,4,1,0,1,n,1,0,0,1,1,0,0,0,0,0,4,5,9,0,4,4,0,4,Liga MX - Mexico,3040986
Querétaro,Pachuca,4,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,4,5,6,2,2,6,8,Liga MX - Mexico,3040987
Cruz Azul,Juárez,4,2,0,2,n,0,0,0,0,0,2,0,0,2,2,3,2,5,10,3,3,10,13,Liga MX - Mexico,3040988
Tigres UANL,Necaxa,4,3,1,4,y,3,1,1,3,4,0,0,0,0,0,1,3,4,5,1,1,5,6,Liga MX - Mexico,3040989
Guadalajara,Atlético San Luis,4,3,0,3,n,1,0,0,1,1,2,0,0,2,2,1,1,2,6,6,6,6,12,Liga MX - Mexico,3040990
Toluca,América,4,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,5,7,9,5,5,9,14,Liga MX - Mexico,3040991
Santos Laguna,Puebla,4,4,1,5,y,2,1,1,2,3,2,0,0,2,2,1,4,5,3,2,2,3,5,Liga MX - Mexico,3040992
Puebla,Pachuca,5,0,4,4,n,0,2,2,0,2,0,2,2,0,2,0,1,1,4,1,1,4,5,Liga MX - Mexico,3040993
Atlas,Cruz Azul,5,1,3,4,y,0,2,2,0,2,1,1,1,1,2,5,3,8,4,4,4,4,8,Liga MX - Mexico,3040994
Atlético San Luis,Tigres UANL,5,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,0,3,2,8,8,2,10,Liga MX - Mexico,3040995
León,Guadalajara,5,4,3,7,y,2,1,1,2,3,2,2,2,2,4,1,3,4,7,5,5,7,12,Liga MX - Mexico,3040996
América,Morelia,5,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,4,6,8,2,2,8,10,Liga MX - Mexico,3040997
Monterrey,Toluca,5,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,5,0,0,5,5,Liga MX - Mexico,3040998
Pumas UNAM,Veracruz,5,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,2,3,6,2,2,6,8,Liga MX - Mexico,3040999
Necaxa,Santos Laguna,5,3,0,3,n,0,0,0,0,0,3,0,0,3,3,4,2,6,8,10,10,8,18,Liga MX - Mexico,3041000
Juárez,Querétaro,5,0,2,2,n,0,0,0,0,0,0,2,2,0,2,2,3,5,-1,-1,-1,-1,-1,Liga MX - Mexico,3041001
Veracruz,Atlético San Luis,6,1,2,3,y,1,1,1,1,2,0,1,1,0,1,2,2,4,2,1,1,2,3,Liga MX - Mexico,3041002
Morelia,Pumas UNAM,6,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,2,5,2,11,11,2,13,Liga MX - Mexico,3041003
Santos Laguna,Monterrey,6,2,1,3,y,2,0,0,2,2,0,1,1,0,1,3,5,8,5,7,7,5,12,Liga MX - Mexico,3041004
Querétaro,León,6,0,4,4,n,0,1,1,0,1,0,3,3,0,3,2,2,4,5,4,4,5,9,Liga MX - Mexico,3041005
Pachuca,Atlas,6,3,1,4,y,2,0,0,2,2,1,1,1,1,2,0,2,2,6,2,2,6,8,Liga MX - Mexico,3041006
Cruz Azul,Puebla,6,1,1,2,y,0,0,0,0,0,1,1,1,1,2,1,3,4,7,1,1,7,8,Liga MX - Mexico,3041007
Tigres UANL,América,6,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,3,4,3,2,2,3,5,Liga MX - Mexico,3041008
Toluca,Tijuana,6,2,0,2,n,1,0,0,1,1,1,0,0,1,1,3,5,8,2,6,6,2,8,Liga MX - Mexico,3041009
Guadalajara,Necaxa,6,1,2,3,y,0,2,2,0,2,1,0,0,1,1,1,3,4,4,3,3,4,7,Liga MX - Mexico,3041010
Veracruz,Querétaro,7,0,5,5,n,0,3,3,0,3,0,2,2,0,2,0,0,0,3,2,2,3,5,Liga MX - Mexico,3041011
Atlético San Luis,Morelia,7,1,1,2,y,1,0,0,1,1,0,1,1,0,1,3,4,7,6,2,2,6,8,Liga MX - Mexico,3041012
Atlas,Tigres UANL,7,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,2,10,10,2,12,Liga MX - Mexico,3041013
América,Pachuca,7,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,4,6,6,4,4,6,10,Liga MX - Mexico,3041014
León,Santos Laguna,7,2,2,4,y,1,1,1,1,2,1,1,1,1,2,2,2,4,9,3,3,9,12,Liga MX - Mexico,3041015
Tijuana,Cruz Azul,7,3,2,5,y,1,2,2,1,3,2,0,0,2,2,6,6,12,4,2,2,4,6,Liga MX - Mexico,3041016
Necaxa,Toluca,7,1,1,2,y,1,1,1,1,2,0,0,0,0,0,0,0,0,4,7,7,4,11,Liga MX - Mexico,3041017
Puebla,Juárez,7,2,1,3,y,0,1,1,0,1,2,0,0,2,2,1,1,2,3,4,4,3,7,Liga MX - Mexico,3041018
Monterrey,Pumas UNAM,7,2,0,2,n,1,0,0,1,1,1,0,0,1,1,2,1,3,2,7,7,2,9,Liga MX - Mexico,3041019
Morelia,Veracruz,8,1,0,1,n,0,0,0,0,0,1,0,0,1,1,2,3,5,6,1,1,6,7,Liga MX - Mexico,3041020
Atlas,América,8,3,0,3,n,1,0,0,1,1,2,0,0,2,2,5,3,8,2,4,4,2,6,Liga MX - Mexico,3041021
Necaxa,Tijuana,8,3,2,5,y,1,2,2,1,3,2,0,0,2,2,3,1,4,7,3,3,7,10,Liga MX - Mexico,3041022
Tigres UANL,León,8,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,3,4,8,3,3,8,11,Liga MX - Mexico,3041023
Pachuca,Atlético San Luis,8,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,1,1,10,5,5,10,15,Liga MX - Mexico,3041024
Cruz Azul,Guadalajara,8,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,4,6,2,6,6,2,8,Liga MX - Mexico,3041025
Pumas UNAM,Toluca,8,2,1,3,y,0,0,0,0,0,2,1,1,2,3,3,1,4,0,2,2,0,2,Liga MX - Mexico,3041026
Querétaro,Puebla,8,1,1,2,y,1,0,0,1,1,0,1,1,0,1,0,2,2,3,2,2,3,5,Liga MX - Mexico,3041027
Juárez,Monterrey,8,1,0,1,n,1,0,0,1,1,0,0,0,0,0,2,3,5,9,5,5,9,14,Liga MX - Mexico,3041028
Puebla,Atlético San Luis,9,1,3,4,y,1,2,2,1,3,0,1,1,0,1,4,4,8,2,5,5,2,7,Liga MX - Mexico,3041029
Veracruz,Cruz Azul,9,0,0,0,n,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,4,5,9,Liga MX - Mexico,3041030
Tijuana,Tigres UANL,9,1,1,2,y,0,1,1,0,1,1,0,0,1,1,4,4,8,6,4,4,6,10,Liga MX - Mexico,3041031
Monterrey,Necaxa,9,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,2,3,6,2,2,6,8,Liga MX - Mexico,3041032
León,Juárez,9,3,1,4,y,0,1,1,0,1,3,0,0,3,3,3,5,8,8,1,1,8,9,Liga MX - Mexico,3041033
Guadalajara,Atlas,9,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,4,8,4,3,3,4,7,Liga MX - Mexico,3041034
Toluca,Morelia,9,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,0,0,3,0,0,3,3,Liga MX - Mexico,3041035
Santos Laguna,Pachuca,9,2,2,4,y,1,2,2,1,3,1,0,0,1,1,1,2,3,8,5,5,8,13,Liga MX - Mexico,3041036
América,Pumas UNAM,9,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,3,6,4,3,3,4,7,Liga MX - Mexico,3041037
Morelia,Guadalajara,10,1,0,1,n,1,0,0,1,1,0,0,0,0,0,1,2,3,4,13,13,4,17,Liga MX - Mexico,3041038
Atlas,Toluca,10,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,3,6,7,1,1,7,8,Liga MX - Mexico,3041039
Atlético San Luis,Santos Laguna,10,2,3,5,y,2,2,2,2,4,0,1,1,0,1,1,3,4,6,6,6,6,12,Liga MX - Mexico,3041040
Necaxa,León,10,2,4,6,y,0,1,1,0,1,2,3,3,2,5,6,3,9,3,6,6,3,9,Liga MX - Mexico,3041041
Monterrey,Puebla,10,3,2,5,y,2,0,0,2,2,1,2,2,1,3,1,1,2,8,3,3,8,11,Liga MX - Mexico,3041042
Pachuca,Tijuana,10,4,1,5,y,3,0,0,3,3,1,1,1,1,2,1,1,2,7,3,3,7,10,Liga MX - Mexico,3041043
América,Querétaro,10,2,2,4,y,1,1,1,1,2,1,1,1,1,2,2,4,6,4,5,5,4,9,Liga MX - Mexico,3041044
Pumas UNAM,Cruz Azul,10,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,2,4,7,2,2,7,9,Liga MX - Mexico,3041045
Juárez,Veracruz,10,2,0,2,n,2,0,0,2,2,0,0,0,0,0,0,2,2,3,1,1,3,4,Liga MX - Mexico,3041046
Querétaro,Necaxa,11,1,2,3,y,0,0,0,0,0,1,2,2,1,3,1,2,3,7,4,4,7,11,Liga MX - Mexico,3041047
Tigres UANL,Puebla,11,0,1,1,n,0,0,0,0,0,0,1,1,0,1,0,0,0,13,7,7,13,20,Liga MX - Mexico,3041048
Guadalajara,Pachuca,11,2,4,6,y,1,1,1,1,2,1,3,3,1,4,0,1,1,4,1,1,4,5,Liga MX - Mexico,3041049
León,Atlas,11,1,1,2,y,0,1,1,0,1,1,0,0,1,1,1,1,2,8,3,3,8,11,Liga MX - Mexico,3041050
Juárez,América,11,1,1,2,y,1,0,0,1,1,0,1,1,0,1,2,0,2,4,5,5,4,9,Liga MX - Mexico,3041051
Santos Laguna,Veracruz,11,5,0,5,n,1,0,0,1,1,4,0,0,4,4,2,0,2,6,4,4,6,10,Liga MX - Mexico,3041052
Tijuana,Morelia,11,3,2,5,y,2,1,1,2,3,1,1,1,1,2,4,4,8,5,2,2,5,7,Liga MX - Mexico,3041053
Cruz Azul,Monterrey,11,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,3,5,7,3,3,7,10,Liga MX - Mexico,3041054
Toluca,Atlético San Luis,11,3,1,4,y,1,0,0,1,1,2,1,1,2,3,5,2,7,5,2,2,5,7,Liga MX - Mexico,3041055
Puebla,León,12,2,1,3,y,1,0,0,1,1,1,1,1,1,2,2,3,5,4,4,4,4,8,Liga MX - Mexico,3041056
Atlas,Querétaro,12,2,0,2,n,1,0,0,1,1,1,0,0,1,1,5,2,7,2,4,4,2,6,Liga MX - Mexico,3041057
Pachuca,Cruz Azul,12,2,0,2,n,1,0,0,1,1,1,0,0,1,1,1,1,2,7,8,8,7,15,Liga MX - Mexico,3041058
Monterrey,Tigres UANL,12,0,2,2,n,0,0,0,0,0,0,2,2,0,2,3,0,3,5,3,3,5,8,Liga MX - Mexico,3041059
Necaxa,Juárez,12,0,0,0,n,0,0,0,0,0,0,0,0,0,0,2,4,6,5,4,4,5,9,Liga MX - Mexico,3041060
América,Guadalajara,12,4,1,5,y,2,0,0,2,2,2,1,1,2,3,2,3,5,9,3,3,9,12,Liga MX - Mexico,3041061
Pumas UNAM,Santos Laguna,12,2,0,2,n,0,0,0,0,0,2,0,0,2,2,2,4,6,4,4,4,4,8,Liga MX - Mexico,3041062
Atlético San Luis,Tijuana,12,2,3,5,y,0,0,0,0,0,2,3,3,2,5,2,3,5,11,4,4,11,15,Liga MX - Mexico,3041063
Veracruz,Toluca,12,1,1,2,y,0,0,0,0,0,1,1,1,1,2,5,1,6,0,6,6,0,6,Liga MX - Mexico,3041064
Morelia,Necaxa,13,2,3,5,y,2,0,0,2,2,0,3,3,0,3,4,2,6,3,5,5,3,8,Liga MX - Mexico,3041065
Tijuana,Atlas,13,2,2,4,y,1,1,1,1,2,1,1,1,1,2,6,1,7,5,5,5,5,10,Liga MX - Mexico,3041066
León,Veracruz,13,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,2,6,9,2,2,9,11,Liga MX - Mexico,3041067
Cruz Azul,América,13,5,2,7,y,1,2,2,1,3,4,0,0,4,4,5,5,10,5,6,6,5,11,Liga MX - Mexico,3041068
Tigres UANL,Santos Laguna,13,4,0,4,n,2,0,0,2,2,2,0,0,2,2,1,1,2,0,5,5,0,5,Liga MX - Mexico,3041069
Guadalajara,Pumas UNAM,13,1,1,2,y,1,0,0,1,1,0,1,1,0,1,6,4,10,2,5,5,2,7,Liga MX - Mexico,3041070
Toluca,Puebla,13,1,1,2,y,0,0,0,0,0,1,1,1,1,2,3,1,4,11,5,5,11,16,Liga MX - Mexico,3041071
Juárez,Atlético San Luis,13,1,2,3,y,1,1,1,1,2,0,1,1,0,1,0,1,1,11,2,2,11,13,Liga MX - Mexico,3041072
Querétaro,Monterrey,13,2,1,3,y,2,1,1,2,3,0,0,0,0,0,3,5,8,5,7,7,5,12,Liga MX - Mexico,3041073
Puebla,Atlas,14,0,1,1,n,0,0,0,0,0,0,1,1,0,1,1,0,1,2,8,8,2,10,Liga MX - Mexico,3041074
Veracruz,Tigres UANL,14,1,3,4,y,0,3,3,0,3,1,0,0,1,1,2,1,3,-1,-1,-1,-1,-1,Liga MX - Mexico,3041075
Santos Laguna,Tijuana,14,4,1,5,y,3,0,0,3,3,1,1,1,1,2,2,1,3,2,5,5,2,7,Liga MX - Mexico,3041076
Cruz Azul,Morelia,14,2,3,5,y,1,1,1,1,2,1,2,2,1,3,3,4,7,6,6,6,6,12,Liga MX - Mexico,3041077
Pachuca,Juárez,14,0,1,1,n,0,0,0,0,0,0,1,1,0,1,4,5,9,9,3,3,9,12,Liga MX - Mexico,3041078
Necaxa,América,14,2,2,4,y,0,0,0,0,0,2,2,2,2,4,3,1,4,3,4,4,3,7,Liga MX - Mexico,3041079
Pumas UNAM,León,14,1,2,3,y,1,1,1,1,2,0,1,1,0,1,3,1,4,5,4,4,5,9,Liga MX - Mexico,3041080
Atlético San Luis,Querétaro,14,0,2,2,n,0,2,2,0,2,0,0,0,0,0,1,0,1,6,4,4,6,10,Liga MX - Mexico,3041081
Monterrey,Guadalajara,14,1,1,2,y,1,1,1,1,2,0,0,0,0,0,2,0,2,14,2,2,14,16,Liga MX - Mexico,3041082
Morelia,Santos Laguna,15,2,2,4,y,2,1,1,2,3,0,1,1,0,1,4,0,4,4,8,8,4,12,Liga MX - Mexico,3041083
Atlas,Necaxa,15,0,2,2,n,0,0,0,0,0,0,2,2,0,2,0,1,1,3,1,1,3,4,Liga MX - Mexico,3041084
Tijuana,Veracruz,15,2,0,2,n,0,0,0,0,0,2,0,0,2,2,0,1,1,3,2,2,3,5,Liga MX - Mexico,3041085
Querétaro,Pumas UNAM,15,3,0,3,n,2,0,0,2,2,1,0,0,1,1,2,2,4,4,11,11,4,15,Liga MX - Mexico,3041086
América,Puebla,15,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,1,2,7,5,5,7,12,Liga MX - Mexico,3041087
León,Atlético San Luis,15,3,2,5,y,1,2,2,1,3,2,0,0,2,2,3,3,6,3,2,2,3,5,Liga MX - Mexico,3041088
Tigres UANL,Cruz Azul,15,1,1,2,y,0,1,1,0,1,1,0,0,1,1,0,1,1,3,1,1,3,4,Liga MX - Mexico,3041089
Toluca,Pachuca,15,2,0,2,n,0,0,0,0,0,2,0,0,2,2,1,2,3,4,12,12,4,16,Liga MX - Mexico,3041090
Juárez,Guadalajara,15,1,2,3,y,1,0,0,1,1,0,2,2,0,2,6,3,9,4,7,7,4,11,Liga MX - Mexico,3041091
Santos Laguna,Querétaro,16,1,0,1,n,1,0,0,1,1,0,0,0,0,0,0,0,0,5,8,8,5,13,Liga MX - Mexico,3041092
Veracruz,Puebla,16,1,0,1,n,0,0,0,0,0,1,0,0,1,1,4,2,6,3,9,9,3,12,Liga MX - Mexico,3041093
Atlético San Luis,América,16,0,1,1,n,0,0,0,0,0,0,1,1,0,1,2,2,4,4,10,10,4,14,Liga MX - Mexico,3041094
Pumas UNAM,Atlas,16,5,1,6,y,1,1,1,1,2,4,0,0,4,4,2,3,5,7,2,2,7,9,Liga MX - Mexico,3041095
Pachuca,Monterrey,16,2,3,5,y,1,2,2,1,3,1,1,1,1,2,1,3,4,5,6,6,5,11,Liga MX - Mexico,3041096
Guadalajara,Tijuana,16,0,1,1,n,0,1,1,0,1,0,0,0,0,0,3,3,6,11,1,1,11,12,Liga MX - Mexico,3041097
Tigres UANL,Toluca,16,1,0,1,n,0,0,0,0,0,1,0,0,1,1,1,4,5,4,2,2,4,6,Liga MX - Mexico,3041098
Morelia,Juárez,16,6,1,7,y,2,0,0,2,2,4,1,1,4,5,2,1,3,3,2,2,3,5,Liga MX - Mexico,3041099
Cruz Azul,León,16,1,0,1,n,0,0,0,0,0,1,0,0,1,1,3,1,4,7,6,6,7,13,Liga MX - Mexico,3041100
Puebla,Pumas UNAM,17,1,1,2,y,0,0,0,0,0,1,1,1,1,2,4,1,5,3,8,8,3,11,Liga MX - Mexico,3041101
Atlas,Atlético San Luis,17,1,2,3,y,1,0,0,1,1,0,2,2,0,2,0,3,3,10,4,4,10,14,Liga MX - Mexico,3041102
Querétaro,Tigres UANL,17,0,0,0,n,0,0,0,0,0,0,0,0,0,0,3,2,5,3,7,7,3,10,Liga MX - Mexico,3041103
América,Santos Laguna,17,1,2,3,y,1,0,0,1,1,0,2,2,0,2,3,3,6,5,2,2,5,7,Liga MX - Mexico,3041104
Monterrey,Veracruz,17,1,1,2,y,0,0,0,0,0,1,1,1,1,2,2,4,6,13,0,0,13,13,Liga MX - Mexico,3041105
Necaxa,Pachuca,17,1,2,3,y,0,1,1,0,1,1,1,1,1,2,3,1,4,8,7,7,8,15,Liga MX - Mexico,3041106
Toluca,Guadalajara,17,1,3,4,y,1,2,2,1,3,0,1,1,0,1,3,0,3,2,3,3,2,5,Liga MX - Mexico,3041107
Juárez,Tijuana,17,3,0,3,n,1,0,0,1,1,2,0,0,2,2,3,3,6,-1,-1,-1,-1,-1,Liga MX - Mexico,3041108
León,Morelia,17,1,1,2,y,1,1,1,1,2,0,0,0,0,0,4,4,8,4,9,9,4,13,Liga MX - Mexico,3041109
Morelia,Puebla,18,3,2,5,y,1,1,1,1,2,2,1,1,2,3,3,3,6,10,1,1,10,11,Liga MX - Mexico,3041110
Veracruz,América,18,0,5,5,n,0,3,3,0,3,0,2,2,0,2,0,0,0,2,10,10,2,12,Liga MX - Mexico,3041111
Tijuana,Monterrey,18,0,4,4,n,0,1,1,0,1,0,3,3,0,3,3,3,6,5,6,6,5,11,Liga MX - Mexico,3041112
Atlético San Luis,Necaxa,18,0,2,2,n,0,1,1,0,1,0,1,1,0,1,1,1,2,5,8,8,5,13,Liga MX - Mexico,3041113
Tigres UANL,Pachuca,18,0,0,0,n,0,0,0,0,0,0,0,0,0,0,1,4,5,9,2,2,9,11,Liga MX - Mexico,3041114
Guadalajara,Querétaro,18,3,2,5,y,3,0,0,3,3,0,2,2,0,2,4,4,8,1,10,10,1,11,Liga MX - Mexico,3041115
León,Toluca,18,4,0,4,n,1,0,0,1,1,3,0,0,3,3,2,1,3,10,6,6,10,16,Liga MX - Mexico,3041116
Pumas UNAM,Juárez,18,1,1,2,y,1,0,0,1,1,0,1,1,0,1,1,3,4,10,0,0,10,10,Liga MX - Mexico,3041117
Santos Laguna,Cruz Azul,18,3,1,4,y,2,0,0,2,2,1,1,1,1,2,3,3,6,9,3,3,9,12,Liga MX - Mexico,3041118
Tijuana,León,19,1,2,3,y,0,1,1,0,1,1,1,1,1,2,4,1,5,4,4,4,4,8,Liga MX - Mexico,3041120
Querétaro,Morelia,19,3,1,4,y,0,0,0,0,0,3,1,1,3,4,1,1,2,9,3,3,9,12,Liga MX - Mexico,3041121
Cruz Azul,Atlético San Luis,19,3,1,4,y,1,1,1,1,2,2,0,0,2,2,0,0,0,3,1,1,3,4,Liga MX - Mexico,3041122
Monterrey,Atlas,19,2,0,2,n,2,0,0,2,2,0,0,0,0,0,0,3,3,8,1,1,8,9,Liga MX - Mexico,3041123
Pachuca,Pumas UNAM,19,2,0,2,n,1,0,0,1,1,1,0,0,1,1,0,0,0,6,2,2,6,8,Liga MX - Mexico,3041124
Guadalajara,Veracruz,19,3,1,4,y,0,1,1,0,1,3,0,0,3,3,0,0,0,7,8,8,7,15,Liga MX - Mexico,3041125
Toluca,Santos Laguna,19,2,2,4,y,2,2,2,2,4,0,0,0,0,0,4,0,4,4,6,6,4,10,Liga MX - Mexico,3041126
Juárez,Tigres UANL,19,1,2,3,y,0,1,1,0,1,1,1,1,1,2,2,2,4,4,0,0,4,4,Liga MX - Mexico,3041127
Puebla,Necaxa,19,3,0,3,n,3,0,0,3,3,0,0,0,0,0,3,1,4,4,7,7,4,11,Liga MX - Mexico,3041119
