League,matchGoalsAvg,firstHalfTotalGoalsAvg,secondHalfTotalGoalsAvg,matchCardsAvg,matchGoals2.5,firstHalfTotalGoals0.5,secondHalfTotalGoals0.5,matchCards3.5,matchCards4.5
Premier League - England,2.715492957746479,1.2338028169014084,1.4816901408450704,3.5774647887323945,0.5295774647887324,0.723943661971831,0.8225352112676056,0.48450704225352115,0.30422535211267604,
Championship - England,2.5958254269449714,1.1290322580645162,1.4667931688804554,3.5161290322580645,0.4857685009487666,0.6925996204933587,0.7741935483870968,0.47248576850094876,0.2656546489563567,
Serie A - Italy,3.018292682926829,1.3140243902439024,1.704268292682927,5.4176829268292686,0.625,0.7408536585365854,0.8384146341463414,0.823170731707317,0.649390243902439,
Serie B - Italy,2.4676470588235295,1.1205882352941177,1.3470588235294119,5.491176470588235,0.4294117647058823,0.7058823529411765,0.7558823529411764,0.8264705882352941,0.6676470588235294,
La Liga - Spain,2.4694444444444446,1.0527777777777778,1.4166666666666667,5.330555555555556,0.45,0.6305555555555555,0.775,0.7666666666666667,0.6166666666666667,
Segunda División - Spain,2.268181818181818,0.9318181818181818,1.3363636363636364,5.665909090909091,0.37272727272727274,0.6113636363636363,0.740909090909091,0.8340909090909091,0.6954545454545454,
Primeira Liga - Portugal,2.454861111111111,1.1041666666666667,1.3506944444444444,5.357638888888889,0.4305555555555556,0.6770833333333334,0.7361111111111112,0.7534722222222222,0.625,
2. Liga - Austria,3.2744186046511627,1.3255813953488371,1.9488372093023256,5.111627906976744,0.6232558139534884,0.7581395348837209,0.8511627906976744,0.7348837209302326,0.5767441860465117,
1st Division - Denmark,2.9344262295081966,1.3333333333333333,1.6010928961748634,2.4863387978142075,0.5628415300546448,0.726775956284153,0.8087431693989071,0.40437158469945356,0.28415300546448086,
Eliteserien - Norway,3.096774193548387,1.3548387096774193,1.7419354838709677,3.596774193548387,0.6451612903225806,0.7258064516129032,0.7741935483870968,0.45161290322580644,0.3225806451612903,
Allsvenskan - Sweden,2.3728813559322033,1.0169491525423728,1.3559322033898304,3.864406779661017,0.4406779661016949,0.6610169491525424,0.8305084745762712,0.559322033898305,0.3728813559322034,
Superettan - Sweden,2.5208333333333335,1.2291666666666667,1.2916666666666667,3.8333333333333335,0.5208333333333334,0.7291666666666666,0.6875,0.625,0.4583333333333333,
Veikkausliiga - Finland,2.5714285714285716,1.0,1.5714285714285714,3.7857142857142856,0.42857142857142855,0.6428571428571429,0.7142857142857143,0.5,0.21428571428571427,
Úrvalsdeild - Iceland,3.393939393939394,1.5151515151515151,1.878787878787879,5.787878787878788,0.7272727272727273,0.7575757575757576,0.8484848484848485,0.9393939393939394,0.7878787878787878,
FNL - Czech republic,3.083682008368201,1.3305439330543933,1.7531380753138075,4.376569037656904,0.5983263598326359,0.7698744769874477,0.8284518828451883,0.6359832635983264,0.4602510460251046,
1. HNL - Croatia,2.4823529411764707,1.1,1.3823529411764706,5.1117647058823525,0.4588235294117647,0.6941176470588235,0.7411764705882353,0.7352941176470589,0.6058823529411764,
I Liga - Poland,2.64453125,1.140625,1.50390625,4.6328125,0.50390625,0.7109375,0.76171875,0.734375,0.5234375,
II Liga - Poland,2.8159722222222223,1.2048611111111112,1.6111111111111112,4.559027777777778,0.5798611111111112,0.7256944444444444,0.7847222222222222,0.6527777777777778,0.4965277777777778,
Premier League - Russia,2.448888888888889,1.0933333333333333,1.3555555555555556,5.493333333333333,0.4533333333333333,0.7155555555555555,0.6977777777777778,0.76,0.6266666666666667,
Super League - Switzerland,2.9602649006622515,1.3576158940397351,1.6026490066225165,5.0927152317880795,0.5894039735099338,0.7615894039735099,0.8079470198675497,0.695364238410596,0.5629139072847682,
Challenge League - Switzerland,3.1948051948051948,1.5064935064935066,1.6883116883116882,4.740259740259741,0.6233766233766234,0.7727272727272727,0.7987012987012987,0.7077922077922078,0.5064935064935064,
Süper Lig - Turkey,2.8472222222222223,1.2048611111111112,1.6423611111111112,5.159722222222222,0.5416666666666666,0.6736111111111112,0.84375,0.75,0.5625,
1. Lig - Turkey,2.474747474747475,1.0,1.4747474747474747,5.5993265993265995,0.4612794612794613,0.6161616161616161,0.7676767676767676,0.8080808080808081,0.6632996632996633,
1. SNL - Slovenia,3.0060240963855422,1.3493975903614457,1.6566265060240963,4.078313253012048,0.5662650602409639,0.7228915662650602,0.8433734939759037,0.6144578313253012,0.41566265060240964,
Premier League - Belarus,2.483050847457627,1.0593220338983051,1.423728813559322,5.389830508474576,0.423728813559322,0.652542372881356,0.7288135593220338,0.8389830508474576,0.652542372881356,
J1 League - Japan,2.5277777777777777,1.2777777777777777,1.25,2.3055555555555554,0.5277777777777778,0.6944444444444444,0.6944444444444444,0.2222222222222222,0.19444444444444445,
J2 League - Japan,2.4727272727272727,1.0727272727272728,1.4,1.8545454545454545,0.4,0.6727272727272727,0.7090909090909091,0.10909090909090909,0.03636363636363636,
J3 League - Japan,2.6944444444444446,1.0277777777777777,1.6666666666666667,2.0833333333333335,0.4444444444444444,0.6111111111111112,0.7222222222222222,0.1388888888888889,0.05555555555555555,
K League 1 - Korea republic,2.621212121212121,1.0,1.621212121212121,3.393939393939394,0.42424242424242425,0.5909090909090909,0.8787878787878788,0.42424242424242425,0.22727272727272727,
K League 2 - Korea republic,2.489795918367347,0.9183673469387755,1.5714285714285714,4.714285714285714,0.42857142857142855,0.6530612244897959,0.7755102040816326,0.7755102040816326,0.5714285714285714,
V.League 1 - Vietnam,2.365079365079365,1.0317460317460319,1.3333333333333333,2.4126984126984126,0.42857142857142855,0.6190476190476191,0.7936507936507936,0.31746031746031744,0.19047619047619047,
A-League - Australia,2.9655172413793105,1.5172413793103448,1.4482758620689655,3.8275862068965516,0.603448275862069,0.7844827586206896,0.7672413793103449,0.5689655172413793,0.3103448275862069,
