Premier League - England,Premier League
League One - England,League One
Championship - England,Championship
League Two - England,League Two
National League - England,National League
National League N / S - England,National League CHANGE
Premiership - Scotland,Scotland Premier
Championship - Scotland,Scotland Championship
League One - Scotland,Scotland League One
League Two - Scotland,Scotland League Two
Premier League - Wales,Wales
Serie A - Italy,Serie A
Serie B - Italy,Serie B
La Liga - Spain,La Liga
Segunda División - Spain,Spain Segunda
Bundesliga - Germany,Bundesliga
2. Bundesliga - Germany,2. Bundesliga
3. Liga - Germany,3. Liga
Ligue 1 - France,Ligue 1
Ligue 2 - France,Ligue 2
National 1 - France,National 1
Primeira Liga - Portugal,Primeira Liga
Segunda Liga - Portugal,Segunda Liga
Eredivisie - Netherlands,Eredivisie
Eerste Divisie - Netherlands,Eerste Divisie
Bundesliga - Austria,Austria
2. Liga - Austria,Austria 2
Superliga - Denmark,Superliga
Eliteserien - Norway,Norway Eliteserien
First Division A - Belgium,Belgium Pro
Czech Liga - Czech-republic,Czech Liga
1. HNL - Croatia,Croatia Premier
Ekstraklasa - Poland,Ekstraklasa
Premier League - Russia,Russia Premier
Super League - Switzerland,Swiss Super
Süper Lig - Turkey,Super-Lig
Super League 1 - Greece,Hellas Liga
Liga I - Romania,Romania Liga
Super Liga - Slovakia,Slovakia
Super Liga - Serbia,Serbia
Serie A - Brazil,Brasil Serie A
Serie B - Brazil,Brasil Serie B
Liga MX - Mexico,Liga MX
Superliga - Argentina,Argentina
CSL - China-pr,CSL
J1 League - Japan,J1 League
J2 League - Japan,J2 League
Ligat ha'Al - Israel,Isreal
A-League - Australia,A-League
Premier League - Ukraine,Ukraine
Premier League - Egypt,Egypt
1. Lig - Turkey,Turkey 2
Primera División - Bolivia,Bolivia
Primera A - Colombia,Colombia
NB I - Hungary,Hungary
J1 League - Japan,J1 League
J2 League - Japan,J2 League
Challenge League - Switzerland,Swiss Challenge
Premier Division - Ireland-republic,Ireland Premier
Premier League - Mauritania,no
MLS - United-states,MLS
K League 1 - Korea-republic,Korea
K League 2 - Korea-republic,Korea 2
FNL - Czech-republic,Czech 2
1st Division - Denmark,Denmark 2
Premier League - Belarus,Belarus